,class,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
0,5,637.595,658.668,-1882.03,-1924.36,997.904,-1739.99,630.087,-829.3976957678351,-1325.64,-944.084,277.107,-206.799,536.441,749.348,418.8099658697428,492.001,655.77,-762.1557858503322,-1043.16,-1942.49,267.138,138.93385148103005,461.67921122892017,211.328,-2203.02,-1180.19,433.906
1,5,634.24,593.705,-1625.79,-1672.32,914.198,-692.386,707.626,-1670.59,-1408.64,-989.285,214.2,-75.5979,893.439,401.281,-389.933,394.053,666.603,-685.194482651549,-933.934,-625.385,120.059,364.858,476.972,220.878,-2250.0,-1360.56,524.075
2,5,58.0174,-1599.16,-690.0431577564101,-1052.63,557.7049392000221,-1564.63,-221.4655526129719,729.79,-3162.14,-716.3553548477869,433.396,228.153,555.359,530.936,952.178,-1074.76,1058.6387801409383,-1025.88,368.622,-540.9713108601321,-1227.8,304.621,355.3461191711508,369.214,-2202.12,21.587228196476428,-1343.55
3,5,72.518,-607.9215169281912,380.436,-1256.93,515.805,-1413.18,-802.942,683.254,-2829.4,-1267.54,461.025,317.521,404.898,563.716,1232.12,-117.779,682.559,-1813.95,155.624,-569.5635482891499,-924.073,432.15,282.833,298.32,-2197.36,-30.028174422167808,-826.727
4,5,1136.44,1265.456500963005,-306.80696452114597,1647.83,1935.8,707.6745399165053,2158.98,-829.0059295961894,1242.87,-2646.05,-1238.02,1564.39,1405.765173334038,890.149,410.2,1160.25,2175.125244148803,1535.0,1959.43,-279.317,-384.915,-113.406,1020.72,1660.65,-116.801,-568.05,-1357.14
5,5,1116.86,1212.6844279535017,-408.147,1685.7,1046.67,-7.58804,1435.99,-1145.83,1269.33,-2070.45,-819.165,1737.62,1064.97,840.433,248.06,1207.77,2408.21,1287.74,1395.7639249069277,-561.347,142.293,48.2714,824.8619568530929,1742.29,-60.3867,-1187.45,-1255.1
6,5,1485.77,-223.142,727.773,180.491,1779.89,2613.97,1869.39,-333.333,1821.83,-891.72,178.746,1389.55,2136.84,429.352062054241,316.108,1180.43,2232.586106196209,3192.46,2152.4,-485.563,174.98406444567829,178.781,1763.99,1480.8,931.397,-724.129,-1007.91
7,5,1207.34,2833.13,-725.103,1720.86,1665.01,1037.84,388.642,-523.1073801635212,1838.29,-2515.29,-799.847,1743.27,1456.4201172012467,600.2736656372572,272.222,1277.45,2578.3,875.583,1836.61,78.7805,-287.5342802903246,-463.492,762.725,1948.98,41.152,-1404.07,-1095.37
8,5,2250.33,671.599,229.826,1831.99,1842.56,2186.74,1910.27,718.783,1499.59,1021.58,1832.81,1478.8,2962.69,1008.38,399.367,1225.31,2502.01066042423,1555.15,2133.41,1950.33,1599.42,1430.91,667.427,1426.47,2480.49,1794.96,1378.45
9,5,4568.46,5011.31,3088.33,2260.56,1864.96,1834.98,2236.35,3938.29,1630.57,4134.62,4174.1,1596.74,3547.67,190.0213787183815,327.357,1250.46,3045.65,3973.62,2496.83,4758.15,4177.9,4663.66,2640.09,1943.72,4789.53,4973.42,5227.021175684448
